+-------------+------+--------+-------+-----------+
|  series id  | year | period | value | footnotes |
| LNS14000000 | 2014 |  M12   |  5.6  |           |
| LNS14000000 | 2014 |  M11   |  5.8  |           |
| LNS14000000 | 2014 |  M10   |  5.7  |           |
| LNS14000000 | 2014 |  M09   |  5.9  |           |
| LNS14000000 | 2014 |  M08   |  6.1  |           |
| LNS14000000 | 2014 |  M07   |  6.2  |           |
| LNS14000000 | 2014 |  M06   |  6.1  |           |
| LNS14000000 | 2014 |  M05   |  6.3  |           |
| LNS14000000 | 2014 |  M04   |  6.2  |           |
| LNS14000000 | 2014 |  M03   |  6.7  |           |
| LNS14000000 | 2014 |  M02   |  6.7  |           |
| LNS14000000 | 2014 |  M01   |  6.6  |           |
| LNS14000000 | 2013 |  M12   |  6.7  |           |
| LNS14000000 | 2013 |  M11   |  6.9  |           |
| LNS14000000 | 2013 |  M10   |  7.2  |           |
| LNS14000000 | 2013 |  M09   |  7.2  |           |
| LNS14000000 | 2013 |  M08   |  7.2  |           |
| LNS14000000 | 2013 |  M07   |  7.3  |           |
| LNS14000000 | 2013 |  M06   |  7.5  |           |
| LNS14000000 | 2013 |  M05   |  7.5  |           |
| LNS14000000 | 2013 |  M04   |  7.6  |           |
| LNS14000000 | 2013 |  M03   |  7.5  |           |
| LNS14000000 | 2013 |  M02   |  7.7  |           |
| LNS14000000 | 2013 |  M01   |  8.0  |           |
| LNS14000000 | 2012 |  M12   |  7.9  |           |
| LNS14000000 | 2012 |  M11   |  7.7  |           |
| LNS14000000 | 2012 |  M10   |  7.8  |           |
| LNS14000000 | 2012 |  M09   |  7.8  |           |
| LNS14000000 | 2012 |  M08   |  8.1  |           |
| LNS14000000 | 2012 |  M07   |  8.2  |           |
| LNS14000000 | 2012 |  M06   |  8.2  |           |
| LNS14000000 | 2012 |  M05   |  8.2  |           |
| LNS14000000 | 2012 |  M04   |  8.2  |           |
| LNS14000000 | 2012 |  M03   |  8.2  |           |
| LNS14000000 | 2012 |  M02   |  8.3  |           |
| LNS14000000 | 2012 |  M01   |  8.3  |           |
| LNS14000000 | 2011 |  M12   |  8.5  |           |
| LNS14000000 | 2011 |  M11   |  8.6  |           |
| LNS14000000 | 2011 |  M10   |  8.8  |           |
| LNS14000000 | 2011 |  M09   |  9.0  |           |
| LNS14000000 | 2011 |  M08   |  9.0  |           |
| LNS14000000 | 2011 |  M07   |  9.0  |           |
| LNS14000000 | 2011 |  M06   |  9.1  |           |
| LNS14000000 | 2011 |  M05   |  9.0  |           |
| LNS14000000 | 2011 |  M04   |  9.1  |           |
| LNS14000000 | 2011 |  M03   |  9.0  |           |
| LNS14000000 | 2011 |  M02   |  9.0  |           |
| LNS14000000 | 2011 |  M01   |  9.1  |           |
| LNS14000000 | 2010 |  M12   |  9.3  |           |
| LNS14000000 | 2010 |  M11   |  9.8  |           |
| LNS14000000 | 2010 |  M10   |  9.4  |           |
| LNS14000000 | 2010 |  M09   |  9.5  |           |
| LNS14000000 | 2010 |  M08   |  9.5  |           |
| LNS14000000 | 2010 |  M07   |  9.4  |           |
| LNS14000000 | 2010 |  M06   |  9.4  |           |
| LNS14000000 | 2010 |  M05   |  9.6  |           |
| LNS14000000 | 2010 |  M04   |  9.9  |           |
| LNS14000000 | 2010 |  M03   |  9.9  |           |
| LNS14000000 | 2010 |  M02   |  9.8  |           |
| LNS14000000 | 2010 |  M01   |  9.8  |           |
| LNS14000000 | 2009 |  M12   |  9.9  |           |
| LNS14000000 | 2009 |  M11   |  9.9  |           |
| LNS14000000 | 2009 |  M10   |  10.0 |           |
| LNS14000000 | 2009 |  M09   |  9.8  |           |
| LNS14000000 | 2009 |  M08   |  9.6  |           |
| LNS14000000 | 2009 |  M07   |  9.5  |           |
| LNS14000000 | 2009 |  M06   |  9.5  |           |
| LNS14000000 | 2009 |  M05   |  9.4  |           |
| LNS14000000 | 2009 |  M04   |  9.0  |           |
| LNS14000000 | 2009 |  M03   |  8.7  |           |
| LNS14000000 | 2009 |  M02   |  8.3  |           |
| LNS14000000 | 2009 |  M01   |  7.8  |           |
+-------------+------+--------+-------+-----------+
